original_idx,comment,type_of_hate,target_of_hate,severity_of_hate,silver_explanation,source
28990,কি সাউয়া জয় করে ফেলছে তাদেরকে নিয়ে নিউজ করতে হবে ফালতু চিন্তাভাবনা,Abusive,Community,Severe,"মন্তব্যটিতে সম্প্রদায়কে উদ্দেশ্য করে গালিগালাজপূর্ণ ও আপত্তিকর ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা তীব্র ও গুরুতর মাত্রার, যা ব্যক্তিগতভাবে আক্রমণাত্মক ও অবমাননাকর বক্তব্য হিসেবে বিবেচিত।",rule-contextual
18657,শুদু শাকিব আফিপ মেহেদি এনামুল সাব্বির এ পাঁচ জান ভালো খেল্লেই এশিয়া কাপ বাংলাদেশের,None,None,Little to None,"মন্তব্যটিতে কোনো গালিগালাজ, বিদ্বেষ বা আপত্তিকর বিষয়বস্তু পাওয়া যায়নি বলে এটি নিরপেক্ষ মন্তব্য।",rule-based
1526,ভারি বাল হালাইছে ১০টাকা কমাইয়া বাড়াইছে ৯০ টাকা আর কমাইছে ১০ টাকা,Political Hate,Organization,Mild,"সরকার বা কর্তৃপক্ষের দাম বৃদ্ধি নিয়ে ""বাল হালাইছে"" (অশ্লীল স্ল্যাং) বলে রাজনৈতিক বা প্রতিষ্ঠান কেন্দ্রিক ক্ষোভ প্রকাশ করা হয়েছে।",rule-contextual
12673,এশিয়া আফ্রিকা না ইউরোপই খাদ্য ঝুকিতে পড়বে কারন চুক্তির পরে ৮০ খাদ্য জাহাজই ইউরোপে রপ্তানি হয়েছে,None,None,Little to None,এই বাক্যে কোনো ঘৃণামূলক শব্দ বা আক্রমণাত্মক প্রকাশ নেই এবং এটি সাধারণ মতামত প্রকাশ করে।,rule-based
19507,এই উপস্থাপক চাইনা ওমর ইনান কি কামড় দিছে সময় সংবাদ,Abusive,Individual,Mild,"একজন নির্দিষ্ট উপস্থাপককে উদ্দেশ্য করে ""কামড় দিছে"" বলে ব্যঙ্গাত্মক ও কটাক্ষমূলক ব্যক্তিগত আক্রমণ করা হয়েছে।",rule-contextual
33786,খালেদা জিয়ার জয় হবে ইনশাআল্লাহ এই সরকারের পতন হবে ইনশাল্লাহ,Political Hate,Organization,Mild,"সরাসরি একটি রাজনৈতিক দলের (বর্তমান সরকার) ""পতন হবে"" বলে রাজনৈতিক ক্ষোভ ও বিদ্বেষ প্রকাশ করা হয়েছে।",rule-contextual
10469,বর্তমানে বাংলাদেশের মুসলমান কাফেরের চেয়েও নিকৃষ্ট হয়ে গেছে কুরবানীতে নিজে খাওয়ার জন্য গরীব অসহায় মানুষের জন্য নয় এবং আল্লাহকে খুশি করার জন্য কুরবানী দেয় না এরা লোভ দেখানো কুরবানী দেয় আল্লাহ পাক রাব্বুল আলামিন বলেছেন যে বান্দা আল্লাহর রস্তে সাহায্য চায় ওই বান্দার হাতের নিচে যেন আমার হাতটা বাড়িয়ে দেয় তাই কখনো কোন বান্দাকে খালি হাতে ফিরাবে না আর আমাদের বাংলাদেশে এখন কুরবানীদের নিজে খাওয়ার জন্য আল্লাহকে খুশি করার জন্য নয়,Religious Hate,Community,Severe,"বাংলাদেশের মুসলমানদের ""কাফেরের চেয়েও নিকৃষ্ট"" বলে একটি নির্দিষ্ট ধর্মীয় সম্প্রদায়কে ব্যাপকভাবে অবমাননা ও কটাক্ষ করা হয়েছে।",rule-contextual
18493,খুবই বেদনাদায়ক ঈশ্বর হোক বা আল্লাহ ধর্মান্ধ মৌলবাদী বাদে সবাইকে রক্ষা করুন,None,None,Little to None,"এটি একটি সাধারণ দোয়া বা প্রার্থনা; ""ধর্মান্ধ মৌলবাদী বাদে"" কথাটি নির্দিষ্ট ঘৃণামূলক গালির পর্যায়ে পড়ে না।",rule-contextual
8783,রূপগঞ্জ উচ্চারন টাও ঠিকমত করতে পারতেছেনা বলতেছে রূপগুঞ্জ রুপগুজ বালের নেতা আমার,Political Hate,Individual,Severe,"কোনো রাজনৈতিক নেতাকে উদ্দেশ্য করে ""বালের নেতা"" (অশ্লীল স্ল্যাং) বলে সরাসরি তীব্র রাজনৈতিক অবমাননা ও গালি দেওয়া হয়েছে।",rule-contextual
25630,আলহামদুলিল্লাহ খুশি হলাম মাথা ন্যাড়া করে দিলে আরো ভালো হতো,Abusive,Individual,Mild,"কাউকে শাস্তি দেওয়া বা অপদস্থ করার ইচ্ছায় (""মাথা ন্যাড়া করে দিলে"") কটাক্ষমূলক ব্যক্তিগত আক্রমণ করা হয়েছে।",rule-contextual
31361,কুলাঙ্গার বেইমান কসাই মোদি,Political Hate,Individual,Severe,"প্রতিবেশী দেশের রাষ্ট্রপ্রধানকে ""কুলাঙ্গার"", ""বেইমান"", ""কসাই"" বলে অত্যন্ত আক্রমণাত্মক ও কুরুচিপূর্ণ রাজনৈতিক গালি দেওয়া হয়েছে।",rule-contextual
10720,ভিডিওতেও দেখা যাচ্ছে ফায়ার সাভিস এর হেডকোয়ার্টার ওই খান থেকেও তারা জরুরি জিনিস নিতে পারে নাই তারা আসলে ছাই নিভিয়ে অভ্যাস,Abusive,Organization,Mild,"ফায়ার সার্ভিসকে উদ্দেশ্য করে ""ছাই নিভিয়ে অভ্যাস"" বলে কটাক্ষ ও ব্যঙ্গাত্মক অবমাননা করা হয়েছে।",rule-contextual
18736,আমি একজন প্রবাসী আমি রেমিটেন্স পাঠানো বন্ধ করেছি কারন সরকার আমার টাকা বিদেশে পাচার করে তাই সকল প্রবাসিদের বলব কেউ টাকা পাঠাবেন না সরকার পতন না হয়া পর্যন্ত আর টাকা না পাঠালে আমাদের প্রবাসীদেরি লাভ কারন ডলারের দাম বেড়ে যাবে,Political Hate,Organization,Mild,"সরকারের বিরুদ্ধে টাকা পাচারের অভিযোগ এনে ""সরকার পতন না হওয়া পর্যন্ত"" রেমিটেন্স না পাঠানোর রাজনৈতিক ক্ষোভ ও উস্কানি দেওয়া হয়েছে।",rule-contextual
25568,মানুষকে পাগল মনে করছেন দালালি বন্ধ করেন দুইটা পারোমানিক বুমার মত জদি হতো তাহলে মানুষ মরতো ৫লাখ,Abusive,Individual,Mild,"কাউকে উদ্দেশ্য করে ""দালালি বন্ধ করেন"" বলে কটাক্ষ করা হয়েছে।",rule-contextual
33307,তোরা বিদায় হ,Abusive,Community,Mild,"নির্দিষ্ট কোনো গোষ্ঠী বা দলকে ""বিদায় হ"" বলে আক্রমণাত্মক বা তাচ্ছিল্যমূলক মন্তব্য করা হয়েছে।",rule-contextual
23396,ইমাদ পরিবহন ও টুঙ্গিপাড়া পরিবহনের মালিক সমিতির সকল সদস্যদের প্রশাসনিক ভাবে আইনের আওতায় আনা উচিৎ কারন এই দুটি পরিবহন অতিরিক্ত বেপরোয়া ভাবে গাড়ি চালায়,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
25224,এত সতর্ক এর মধ্যেদিয়ে আগুন লাগানো আওয়ামী লীগের দারা সম্ভব,Political Hate,Organization,Mild,একটি নির্দিষ্ট রাজনৈতিক দলকে (আওয়ামী লীগ) অগ্নিকাণ্ডের জন্য সরাসরি দায়ী করে রাজনৈতিক বিদ্বেষ ছড়ানো হয়েছে।,rule-contextual
33185,চীন হলো গ্রামের দাদন ব্যবসায়ি,Political Hate,Community,Mild,"একটি নির্দিষ্ট রাষ্ট্রকে (চীন) ""দাদন ব্যবসায়ী"" (শোষণকারী মহাজন) এর সাথে তুলনা করে ভূ-রাজনৈতিক কটাক্ষ করা হয়েছে।",rule-contextual
28641,কুকুর মাংস শুকুর মাংস বিক্রি হয় এতো কনো অন্যয় হয় না ঘোড়ার মাংস হালাল এটা বিক্রি হয় দেখে অন্যায় এই হলো আমাদের দেশ,Abusive,Society,Mild,দেশের সমাজ ব্যবস্থা বা রীতিনীতিকে উদ্দেশ্য করে ব্যঙ্গাত্মক ও কটাক্ষমূলক অবমাননা করা হয়েছে।,rule-contextual
24264,সালের সূর্য গ্রহণ কখন,None,None,Little to None,"এই মন্তব্যে কোনো ঘৃণামূলক, আক্রমণাত্মক বা বৈষম্যমূলক ভাষা নেই, তাই এটি স্বাভাবিক মন্তব্য হিসেবে শ্রেণিবদ্ধ।",rule-based
6807,ইন্ডিয়ার দাদাদের বলতে চাই যতই ছড়ি ঘুরাও পৃথিবীতে মুসলমানদের পায়ের নিচেই থাকবে সারা জিবনবাস্তব উদাহরণ কাতার বিশ্বকাপ,Religious Hate,Community,Mild,"অন্য দেশের নির্দিষ্ট সম্প্রদায়কে (""ইন্ডিয়ার দাদাদের"") উদ্দেশ্য করে ধর্মীয় শ্রেষ্ঠত্ববোধ থেকে (""মুসলমানদের পায়ের নিচে থাকবে"") কটাক্ষমূলক ধর্মীয় বিদ্বেষ ছড়ানো হয়েছে।",rule-contextual
21567,মেসিকে যে প্লেয়ার ভালবাসবে বিশ্বের লোক তাকেই ভালবাসবে সেই পেলে আর কে ভালবাসবে কেননা এটাই যে বস মেসি,None,None,Little to None,"মন্তব্যটিতে কোনো গালিগালাজ, বিদ্বেষ বা আপত্তিকর বিষয়বস্তু পাওয়া যায়নি বলে এটি নিরপেক্ষ মন্তব্য।",rule-based
29701,আল্লাহ গজব পড়কতোদের উপর,Abusive,Community,Mild,"কোনো নির্দিষ্ট গোষ্ঠীর (""তোদের"") ওপর ঐশ্বরিক অভিশাপ বা ""গজব"" কামনা করে আক্রমণাত্মক মন্তব্য করা হয়েছে।",rule-contextual
17530,আল্লাহ্ দেশ ও দেশবাসীকে সকল ফেতনামসিবত থেকে হেফাজত করুন,None,None,Little to None,এটি একটি নিরপেক্ষ মন্তব্য যেখানে কাউকে লক্ষ্য করে কোনো অবমাননাকর বা বৈষম্যমূলক ভাষা ব্যবহার করা হয়নি।,rule-based
28062,সোহাগ দুর্নিতী করেছে এটা প্রমাণ হয়েছে কিছু কি আঙ্গুল চুসেছে ওকে কেন জবাদিহিতায় আনা হচ্ছে না সবচেয়ে বড় ক্রিমিনাল ঐটা ওকে ধরেন,Abusive,Individual,Severe,"কাউকে উদ্দেশ্য করে ""আঙ্গুল চুসেছে"" এবং ""সবচেয়ে বড় ক্রিমিনাল"" বলে সরাসরি ব্যক্তিগত ও তীব্র আক্রমণাত্মক মন্তব্য করা হয়েছে।",rule-contextual
22444,দালাল না দেখলে রাংগা কে দেখে নিন,Political Hate,Individual,Mild,"একজন রাজনৈতিক ব্যক্তিকে (""রাঙ্গা"") সরাসরি ""দালাল"" বলে রাজনৈতিকভাবে অবমাননা করা হয়েছে।",rule-contextual
35352,শাস্তির আরো বাকি আছে আল্লাহ কোনো শয়তান কে ছাড়ে না,Abusive,Individual,Mild,"কাউকে ""শয়তান"" আখ্যা দিয়ে শাস্তির কথা বলে ব্যক্তিগতভাবে কটাক্ষ ও অবমাননা করা হয়েছে, যা ধর্মীয় বিদ্বেষের বদলে সাধারণ গালিগালাজ হিসেবে বিবেচিত।",rule-contextual
16961,গুলি করা হোউক অবৈধ প্রবেশে,Political Hate,Community,Severe,"অবৈধ প্রবেশকারীদের (সাধারণত একটি নির্দিষ্ট গোষ্ঠী বা সম্প্রদায়) উদ্দেশ্য করে ""গুলি করা হোক"" বলে চরম সহিংসতা ও হত্যার উস্কানি দেওয়া হয়েছে।",rule-based
11180,মায়ানমারের লোক না বইলা বলেন বিএনপি তাহলে দেখবেন সাথে সাথে একশন হয়ে গেছে শুরু,Political Hate,Organization,Mild,"এই মন্তব্যে ""বিএনপি"" সম্পর্কিত রাজনৈতিক ঘৃণা প্রকাশ পেয়েছে যেখানে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে আক্রমণের লক্ষ্যবস্তু। তীব্রতা মাঝারি মাত্রার।",rule-contextual
26586,হাসিনা কে জুতা না মারলে দেশে শান্তি আসবেনা,Political Hate,Individual,Severe,"দেশের প্রধানমন্ত্রীকে উদ্দেশ্য করে ""জুতা মারলে"" বলে শারীরিক লাঞ্ছনা বা চরম অবমাননাকর রাজনৈতিক মন্তব্য করা হয়েছে।",rule-contextual
1112,নির্বাচন কমিশন এদের কি দেখে নিবন্ধন দেয় যাদের অফিস নাই কর্মী নাই এরা কিভাবে নিবন্ধন পায় এই হাইস্যকর দেশে সবই সম্ভব,Political Hate,Organization,Mild,"মন্তব্যটিতে সংগঠন বা প্রতিষ্ঠানকে উদ্দেশ্য করে রাজনৈতিক বিদ্বেষমূলক ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা মৃদু মাত্রার, যা রাজনৈতিক বিদ্বেষমূলক বক্তব্য হিসেবে বিবেচিত।",rule-contextual
7817,একটি কিডনীর ওয়েট কত সর্বোচ্চ ২০০ গ্রাম মেডিকেল সাইন্সের দেয়া তথ্য অনুযায়ী প্রায় দেড়শ লিটার ব্লাড এই যন্ত্র ডেইলি ফিলটার করে কত টাকা দিতে হয় এর জন্য আমাদের এক টাকাও না একটি ডায়ালাইসিস মেশিনের ওয়েট কত কমপক্ষে ১০০ কেজি এই একই কাজ এই মেশিনের মাধ্যমে করাতে খরচ কত প্রতি চার ঘন্টায় কয়েক হাজার সাড়ে তিন হাত শরীরের ভেতরই আল্লাহর দেয়া এরকম হাজারো নিয়ামাত আমরা বিনামূল্যে ভোগ করছি নিজেদের অজান্তেই কোনদিন কি এর জন্য শুকরিয়া আদায়ের প্রয়োজনীয়তা অনুভব করেছি তিনি আল্লাহ আমাদের এই শরীরের নির্মাতা যিনি তাঁর অস্তিত্বের প্রমাণে পশু পাখির গায়ে তার নাম অংকিত থাকার প্রয়োজন নেই প্রয়োজন নেই মেঘের ভাঁজে তাঁর নাম ফুটে উঠার তার অস্তিত্বের প্রমাণ আমরা নিজেরাই অতএব তোমরা তোমাদের রবের কোন নিয়ামত অস্বীকার করবে সুরা আর রাহমান সংগৃহিত,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
9712,জয় দুর্গা মাগীর পোদের জয়,Religious Hate,Community,Severe,"হিন্দু ধর্মাবলম্বীদের দেবী দুর্গাকে উদ্দেশ্য করে অত্যন্ত কুরুচিপূর্ণ যৌন স্ল্যাং (""মাগী"") ব্যবহার করে তীব্র মাত্রার ধর্মীয় অবমাননা করা হয়েছে।",rule-contextual
10939,তোর মতো কুকুর দের জন্য দেশের এই অবস্থা তোর বৌও কে চুদবে জনগন,Abusive,Individual,Severe,"মন্তব্যটিতে ব্যক্তিকে উদ্দেশ্য করে গালিগালাজপূর্ণ ও আপত্তিকর ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা তীব্র ও গুরুতর মাত্রার, যা ব্যক্তিগতভাবে আক্রমণাত্মক ও অবমাননাকর বক্তব্য হিসেবে বিবেচিত।",rule-contextual
12612,আজকে তোদের কারনেই আজ দেশের এই অবস্থা,Abusive,Community,Mild,"দেশের খারাপ অবস্থার জন্য কোনো একটি নির্দিষ্ট গোষ্ঠী বা সম্প্রদায়কে (""তোদের"") একচেটিয়াভাবে দোষারোপ করে আক্রমণাত্মক মন্তব্য করা হয়েছে।",rule-contextual
3716,এই ইহুদির বাচ্চাদের অভ্যাস এরকম বিপদে পড়লে মুসলিমদের কাছে আসবে আর বিপদ কেটে গেলে বাঁশ দিবে,Religious Hate,Community,Mild,"মন্তব্যটিতে সম্প্রদায়কে উদ্দেশ্য করে ধর্মীয় বিদ্বেষমূলক ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা মৃদু মাত্রার, যা ধর্মীয় বিদ্বেষমূলক বক্তব্য হিসেবে বিবেচিত।",rule-contextual
4401,এই ধরনের কাজ বিএনপি করলেও এর সম্পূর্ণ দায়ভার নিতে হবে আওয়ামী লীগের তাদের জন্যই আজকে দেশের এই অবস্থা,Political Hate,Organization,Mild,"মন্তব্যটিতে ""আওয়ামী"", ""বিএনপি"", ""লীগ"" উল্লেখ করে রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে। নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে লক্ষ্য করে এই মাঝারি মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য।",rule-contextual
21639,হিজলা মাদাররা ভিডিও করছে আগায়া যায়নাই কেউই তাদেরকেও আইনের আওতায় আনা উচিৎ,Gender Hate,Community,Severe,"রূপান্তরকামী/হিজড়া সম্প্রদায়কে উদ্দেশ্য করে অত্যন্ত অশ্লীল গালি (""মাদাররা"" - Motherf***ers) ব্যবহার করে তীব্র মাত্রার লিঙ্গভিত্তিক/সাম্প্রদায়িক ঘৃণা ছড়ানো হয়েছে।",rule-contextual
15697,এই হাসিনা মাগী দেশের৷ গোয়া মারা শারা,Political Hate,Individual,Severe,"রাজনৈতিক প্রেক্ষাপটে দেশের প্রধানমন্ত্রীকে উদ্দেশ্য করে অত্যন্ত অশ্লীল যৌন স্ল্যাং (""মাগী"", ""গোয়া মারা"") ব্যবহার করে তীব্র রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে।",rule-contextual
21648,পাগল নাচালে ও এর চেয়ে বেশি লোক হয়,Abusive,Organization,Mild,"কোনো সমাবেশ বা জমায়েতকে ""পাগল নাচানোর"" সাথে তুলনা করে ব্যঙ্গাত্মক ও অবমাননাকর মন্তব্য করা হয়েছে, যা নির্দিষ্ট দলের প্রতি সাধারণ আক্রমণাত্মক বক্তব্য।",rule-contextual
10158,ভ্রমর কইয় গিয়াগান টার বারটা বাজাতে আপনিও ছারেননিআর রেহমান নজরুল ইসলামের চেয়ে বড় কেউ নাযে তার গানের সুর চেঞ্চ করতে পারেন,Abusive,Individual,Mild,"একজন গায়ক বা শিল্পীকে উদ্দেশ্য করে ""গানটার বারোটা বাজাতে"" (গানটি নষ্ট করতে) বলে ব্যক্তিগতভাবে কটাক্ষ ও অবমাননা করা হয়েছে।",rule-based
18592,আল্লাহর গজব তোদের উপরে,Abusive,Community,Mild,"কোনো নির্দিষ্ট গোষ্ঠীর (""তোদের"") ওপর ""গজব"" কামনা করে আক্রমণাত্মক ও গালিগালাজমূলক মন্তব্য করা হয়েছে।",rule-contextual
25802,ছাইরা দিলে পরে বুঝবে কি করবে চিন,None,None,Little to None,এই বাক্যে কোনো ঘৃণামূলক শব্দ বা আক্রমণাত্মক প্রকাশ নেই এবং এটি সাধারণ মতামত প্রকাশ করে।,rule-based
17100,নাম ধাম কিছুই না জানাইয়া নিউজ দিয়া দিছে,Abusive,Organization,Mild,সংবাদমাধ্যমের পেশাদারিত্ব নিয়ে কটাক্ষ করে প্রতিষ্ঠানটিকে উদ্দেশ্য করে অবমাননাকর মন্তব্য করা হয়েছে।,rule-based
9751,সময় টিভির কি খেয়ে দেয়ে কাজ নাই এখন টিকটক করা শুরু করেছে,Abusive,Organization,Mild,"একটি নির্দিষ্ট সংবাদমাধ্যমকে (সময় টিভি) উদ্দেশ্য করে ""খেয়ে দেয়ে কাজ নাই"" বলে ব্যঙ্গাত্মক ও অবমাননাকর মন্তব্য করা হয়েছে।",rule-contextual
7175,কোন ক্ষেতের মুলা উঠায়ে নিয়ে আসছে বিশ্লেষণের জন্যে,Abusive,Individual,Mild,"কাউকে অযোগ্য প্রমাণ করতে ""কোন ক্ষেতের মুলা"" (তুচ্ছ ব্যক্তি) বলে অবমাননাকর ও কটাক্ষমূলক মন্তব্য করা হয়েছে।",rule-based
32873,ম্যাচ তো কালকেতো কিছুক্ষণের মধ্যে মাঠে নামবে কি করে গাঞ্জা কি বেশি খেয়ে ফেলেছেন নাকি,Abusive,Individual,Mild,"ভুল তথ্য দেওয়ায় কাউকে উদ্দেশ্য করে ""গাঞ্জা বেশি খেয়ে ফেলেছেন"" বলে কটাক্ষ করা হয়েছে, যা মৃদু মাত্রার গালি।",rule-contextual
6227,নাসিৱ দলে না দেখে আমি অবাক,None,None,Little to None,এই বাক্যে কোনো ঘৃণামূলক শব্দ বা আক্রমণাত্মক প্রকাশ নেই এবং এটি সাধারণ মতামত প্রকাশ করে।,rule-based
8468,বাহ সময় টিভি সময় নিয়ে খুব সুন্দর নাটক সাজায়ছে,None,None,Little to None,"এটি সংবাদমাধ্যমকে নিয়ে একটি সাধারণ ব্যঙ্গ (""নাটক সাজায়ছে""); এতে কোনো গালিগালাজ নেই।",rule-contextual
29574,আগের নিউজে দেখলাম এরদোয়ান জয়ী হতেই বায়না ধরল জো বাইডেন এখন দেখি এরদোয়ান বায়না ধরছে,Political Hate,Individual,Mild,"আন্তর্জাতিক নেতাদের (এরদোয়ান, বাইডেন) উদ্দেশ্য করে ""বায়না ধরছে"" (শিশুদের মতো আচরণ) বলে রাজনৈতিক কটাক্ষ ও অবমাননা করা হয়েছে।",rule-contextual
6111,আমাদেরকেই দেন আমরা কি ইঞ্জিনিয়ারিং পইরা দেখমু যে বাইরের লোক আস্তেছে,None,None,Little to None,এই বাক্যে কোনো ঘৃণামূলক শব্দ বা আক্রমণাত্মক প্রকাশ নেই এবং এটি সাধারণ মতামত প্রকাশ করে।,rule-based
10950,খমাতা কিরো নেওয়া হোক জে মানুষ নামে অনেক পসু কে শিক্ষা দেওয়া উচিন দারজাল মহিলা অনেক আছে,Abusive,Individual,Mild,"মন্তব্যটিতে ""মহিলা"" এর মতো আক্রমণাত্মক ও গালিগালাজমূলক ভাষা ব্যবহার করা হয়েছে। এটি একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার বক্তব্য।",rule-contextual
3643,বিশ্ব পারমাণবিক যুদ্ধের খুবই কাছাকাছি,None,None,Little to None,"মন্তব্যটিতে কোনো গালিগালাজ, বিদ্বেষ বা আপত্তিকর বিষয়বস্তু পাওয়া যায়নি বলে এটি নিরপেক্ষ মন্তব্য।",rule-based
8447,লজ্জা করে না বাংলাদেশি বংশোদ্ভূত বলতে কোন রকম সাকসেস হইলেই বাংলাদেশি হালার পুত গুলা তোর বাংলার মায়েরে টুট টুট টুট,Abusive,Community,Severe,"মন্তব্যটিতে সম্প্রদায়কে উদ্দেশ্য করে গালিগালাজপূর্ণ ও আপত্তিকর ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা তীব্র ও গুরুতর মাত্রার, যা ব্যক্তিগতভাবে আক্রমণাত্মক ও অবমাননাকর বক্তব্য হিসেবে বিবেচিত।",rule-contextual
11268,ইনশাআল্লাহ সবাই আমার জন্য দোয়া করবেনআমি ও কঠোর পরিশ্রম করছি আপনাদেরকে ভালো কিছু উপহার দেওয়ার জন্য,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
21431,ভারত কখনো বাংলাদেশের বন্ধু হতে পারে না আমি বিশ্বাস করি না,Political Hate,Community,Mild,"প্রতিবেশী রাষ্ট্র (ভারত) সম্পর্কে সরাসরি নেতিবাচক ও বৈরী ভূ-রাজনৈতিক মতামত প্রকাশ করা হয়েছে, যা রাজনৈতিক/জাতীয়তাবাদী বিদ্বেষের আওতায় পড়ে।",rule-contextual
28214,আরো এগিয়ে যাবে বাংলাদেশ জয় বাংলা জয় বঙ্গবন্ধু জয় শেখ হাসিনা,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
25607,রিপোর্টারের মা বাইঞ্চোদ ওর মাকে ঠাপিয়ে এসে রিপোর্ট করছে,Abusive,Individual,Severe,"মন্তব্যটিতে ব্যক্তিকে উদ্দেশ্য করে গালিগালাজপূর্ণ ও আপত্তিকর ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা তীব্র ও গুরুতর মাত্রার, যা ব্যক্তিগতভাবে আক্রমণাত্মক ও অবমাননাকর বক্তব্য হিসেবে বিবেচিত।",rule-contextual
35440,প্রশাসন রায়হান শরীরের বাল ও ফালাইতে পারবে না,Abusive,Organization,Severe,"মন্তব্যটিতে সংগঠন বা প্রতিষ্ঠানকে উদ্দেশ্য করে গালিগালাজপূর্ণ ও আপত্তিকর ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা তীব্র ও গুরুতর মাত্রার, যা ব্যক্তিগতভাবে আক্রমণাত্মক ও অবমাননাকর বক্তব্য হিসেবে বিবেচিত।",rule-contextual
32027,বাংলাদেশে সব দেশের জনগণ ঢুকতে পারে কিন্তু বাংলাদেশের জনগণ অন্য দেশে যেতে গেলে দুনিয়ার সব সমস্যা,None,None,Little to None,"এই মন্তব্যে কোনো আপত্তিকর, অশ্লীল বা ঘৃণাজনক বিষয়বস্তু নেই এবং এটি স্বাভাবিক আলোচনার অংশ।",rule-based
1996,গিয়ে তো সেই ভিক্ষা করবে তাই তো ক্যান্সেল করছে,Political Hate,Individual,Mild,"রাজনৈতিক প্রেক্ষাপটে কোনো নেতা বা রাষ্ট্রপ্রধানকে ""ভিক্ষা করবে"" বলে ব্যঙ্গাত্মক কটাক্ষ ও রাজনৈতিক অবমাননা করা হয়েছে।",rule-contextual
17240,তোর জাতের মাকে তোর মাকে তু তু তু চু চু চু চু চু,Abusive,Individual,Severe,"মন্তব্যটিতে ব্যক্তিকে উদ্দেশ্য করে গালিগালাজপূর্ণ ও আপত্তিকর ভাষা ব্যবহার করা হয়েছে। এই বক্তব্যের তীব্রতা তীব্র ও গুরুতর মাত্রার, যা ব্যক্তিগতভাবে আক্রমণাত্মক ও অবমাননাকর বক্তব্য হিসেবে বিবেচিত।",rule-contextual
17894,সাকিব খান অনেক টাকা আছে তাকে বলি টাকা বাহির দেশে পাচার না করে দেশে কিছু করেন,None,None,Little to None,এটি একজন অভিনেতাকে উদ্দেশ্য করে সাধারণ পরামর্শ বা অভিযোগ; এতে কোনো ঘৃণামূলক গালিগালাজ নেই।,rule-contextual
24121,না জানি কতো জন নিরাপদ মানুষকে ফাসিয়ে দিবে আল্লাহ আর কতো এদেরকে ধুলুয় মিশিয়ে দেন,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
24248,কি ডেমোক্রাট আর কি রিপাবলিকান সব চোরের দল এরা ইহুদি লবি ছাড়া টিকতে পারেনা,Political Hate,Organization,Mild,"নির্দিষ্ট রাজনৈতিক দলগুলোকে ""চোরের দল"" এবং ""ইহুদি লবি"" উল্লেখ করে সংগঠন কেন্দ্রিক রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে।",rule-contextual
25096,মুসলিম জাতির জন্য এখন এরদোয়ান এর মত একজন মানুষ দরকার,None,None,Little to None,এটি একজন নেতার প্রতি সাধারণ প্রশংসা এবং মতামত; এতে কোনো ঘৃণামূলক বা বিদ্বেষপূর্ণ বক্তব্য নেই।,rule-contextual
14085,নসরুল হামিদ স্যারের মুখে সৎ ও সাহসী উপস্থাপন সরাসরি বলে দিয়েছেন যে কোন স্বজনপ্রীতি চলবে না সর্বোচ্চ গ্যাস উৎপাদনে সততার সাথে নিজেদের মেধার প্রয়োগ করতে হবে নয়তো কোন তদবিরে কাজ চলবে না,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
